"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Oct 9, 2025","8,187.70","8,272.63","8,159.94","8,250.94","8,250.94","347,199,100"
"Oct 8, 2025","8,201.14","8,224.64","8,044.93","8,166.03","8,166.03","355,267,800"
"Oct 7, 2025","8,182.66","8,217.05","8,153.71","8,169.28","8,169.28","426,851,900"
"Oct 6, 2025","8,155.37","8,176.31","8,104.55","8,139.89","8,139.89","429,540,400"
"Oct 3, 2025","8,099.65","8,118.30","8,076.60","8,118.30","8,118.30","428,024,700"
"Oct 2, 2025","8,070.42","8,109.44","8,059.05","8,071.08","8,071.08","402,266,500"
"Oct 1, 2025","8,069.94","8,093.69","8,034.25","8,043.82","8,043.82","536,747,800"
"Sep 30, 2025","8,137.63","8,150.34","8,042.82","8,061.06","8,061.06","461,651,600"
"Sep 29, 2025","8,139.58","8,157.33","8,100.02","8,123.25","8,123.25","439,450,000"
"Sep 26, 2025","8,051.76","8,099.33","8,035.00","8,099.33","8,099.33","351,966,900"
"Sep 25, 2025","8,130.02","8,146.09","8,022.98","8,040.67","8,040.67","483,927,800"
"Sep 24, 2025","8,161.28","8,169.02","8,077.84","8,126.56","8,126.56","454,412,900"
"Sep 23, 2025","8,066.29","8,125.20","8,039.95","8,125.20","8,125.20","518,663,700"
"Sep 22, 2025","8,082.26","8,087.93","8,005.35","8,040.04","8,040.04","345,468,800"
"Sep 19, 2025","7,996.20","8,051.12","7,983.36","8,051.12","8,051.12","423,577,900"
"Sep 18, 2025","8,065.74","8,068.01","7,993.52","8,008.43","8,008.43","378,167,700"
"Sep 17, 2025","7,964.42","8,025.18","7,940.51","8,025.18","8,025.18","323,654,400"
"Sep 16, 2025","7,979.32","7,985.58","7,899.67","7,957.70","7,957.70","401,395,800"
"Sep 15, 2025","7,891.26","7,937.12","7,889.19","7,937.12","7,937.12","345,056,100"
"Sep 12, 2025","7,819.00","7,854.81","7,790.79","7,854.06","7,854.06","289,619,100"
"Sep 11, 2025","7,781.17","7,819.10","7,742.60","7,747.90","7,747.90","289,797,900"
"Sep 10, 2025","7,682.42","7,726.38","7,661.28","7,699.01","7,699.01","263,174,400"
"Sep 9, 2025","7,748.51","7,791.33","7,619.72","7,628.60","7,628.60","335,416,000"
"Sep 8, 2025","7,929.06","7,934.99","7,766.85","7,766.85","7,766.85","336,787,200"
